Max,Delay Line Length,Mean,error_y.array,Available,max_norm,mean_norm,error_norm
13,2,13,0,24,0.5416666667,0.5416666667,0
16,3,14.29,1.4852272553,24,0.6666666667,0.5954166667,0.061884469
24,4,20.33,3.6415793277,24,1,0.8470833333,0.151732472
24,5,22.36,4.0780387443,24,1,0.9316666667,0.169918281
24,6,21.35,3.8661996844,24,1,0.8895833333,0.1610916535
24,7,21.9733333333,1.4045007021,24,1,0.9155555556,0.0585208626
24,8,19.95,3.2691742077,24,1,0.83125,0.136215592
24,9,21.7,1.9,24,1,0.9041666667,0.0791666667
24,10,21.32,2.2812861869,24,1,0.8883333333,0.0950535911
24,11,22.5866666667,0.8958174417,24,1,0.9411111111,0.0373257267
24,12,23.3936170213,0.9250426684,24,1,0.9747340426,0.0385434445
24,13,22.5428571429,1.7540623404,24,1,0.9392857143,0.0730859308
24,14,22.5185185185,1.8129241853,24,1,0.9382716049,0.0755385077
24,15,22.88,1.7792133093,24,1,0.9533333333,0.0741338879
24,16,23.16,1.24675579,24,1,0.965,0.0519481579
