Max,Generations,Min,Avg,Std,Available
4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.549999999999999822e+00,7.116710000000000313e+00,8.900000000000000000e+01
4.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.919999999999999929e+00,8.833660000000000068e+00,8.900000000000000000e+01
4.200000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,1.323000000000000043e+01,9.228059999999999263e+00,8.900000000000000000e+01
4.200000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+01,1.535999999999999943e+01,1.125120000000000076e+01,8.900000000000000000e+01
4.500000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+01,2.014000000000000057e+01,1.424009999999999998e+01,8.900000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+01,2.557000000000000028e+01,1.520350000000000001e+01,8.900000000000000000e+01
4.500000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+01,3.613000000000000256e+01,1.068050000000000033e+01,8.900000000000000000e+01
5.900000000000000000e+01,7.000000000000000000e+00,4.200000000000000000e+01,4.225999999999999801e+01,1.758520000000000083e+00,8.900000000000000000e+01
5.900000000000000000e+01,8.000000000000000000e+00,4.200000000000000000e+01,4.227000000000000313e+01,1.759859999999999980e+00,8.900000000000000000e+01
5.900000000000000000e+01,9.000000000000000000e+00,4.200000000000000000e+01,4.256000000000000227e+01,2.665779999999999816e+00,8.900000000000000000e+01
5.900000000000000000e+01,1.000000000000000000e+01,4.200000000000000000e+01,4.256000000000000227e+01,2.665779999999999816e+00,8.900000000000000000e+01
7.400000000000000000e+01,1.100000000000000000e+01,4.200000000000000000e+01,4.325999999999999801e+01,4.511359999999999815e+00,8.900000000000000000e+01
7.400000000000000000e+01,1.200000000000000000e+01,4.200000000000000000e+01,4.371000000000000085e+01,4.968490000000000073e+00,8.900000000000000000e+01
7.400000000000000000e+01,1.300000000000000000e+01,4.200000000000000000e+01,4.410000000000000142e+01,5.181700000000000195e+00,8.900000000000000000e+01
7.400000000000000000e+01,1.400000000000000000e+01,4.200000000000000000e+01,4.485000000000000142e+01,5.853850000000000442e+00,8.900000000000000000e+01
7.400000000000000000e+01,1.500000000000000000e+01,4.200000000000000000e+01,4.522999999999999687e+01,5.858080000000000176e+00,8.900000000000000000e+01
7.400000000000000000e+01,1.600000000000000000e+01,4.200000000000000000e+01,4.634000000000000341e+01,6.227710000000000079e+00,8.900000000000000000e+01
7.400000000000000000e+01,1.700000000000000000e+01,4.200000000000000000e+01,4.777000000000000313e+01,6.667620000000000324e+00,8.900000000000000000e+01
7.400000000000000000e+01,1.800000000000000000e+01,4.200000000000000000e+01,4.871999999999999886e+01,6.592539999999999623e+00,8.900000000000000000e+01
7.400000000000000000e+01,1.900000000000000000e+01,4.200000000000000000e+01,4.963000000000000256e+01,6.244449999999999612e+00,8.900000000000000000e+01
7.400000000000000000e+01,2.000000000000000000e+01,4.300000000000000000e+01,5.054999999999999716e+01,5.892999999999999794e+00,8.900000000000000000e+01
7.400000000000000000e+01,2.100000000000000000e+01,4.600000000000000000e+01,5.175999999999999801e+01,5.528330000000000410e+00,8.900000000000000000e+01
7.400000000000000000e+01,2.200000000000000000e+01,4.700000000000000000e+01,5.271000000000000085e+01,5.468630000000000102e+00,8.900000000000000000e+01
7.400000000000000000e+01,2.300000000000000000e+01,4.700000000000000000e+01,5.360000000000000142e+01,5.360970000000000013e+00,8.900000000000000000e+01
7.400000000000000000e+01,2.400000000000000000e+01,4.800000000000000000e+01,5.474000000000000199e+01,4.965119999999999756e+00,8.900000000000000000e+01
7.400000000000000000e+01,2.500000000000000000e+01,4.800000000000000000e+01,5.531000000000000227e+01,4.939020000000000188e+00,8.900000000000000000e+01
7.400000000000000000e+01,2.600000000000000000e+01,5.000000000000000000e+01,5.653999999999999915e+01,4.067969999999999864e+00,8.900000000000000000e+01
7.400000000000000000e+01,2.700000000000000000e+01,5.200000000000000000e+01,5.710000000000000142e+01,3.697299999999999809e+00,8.900000000000000000e+01
7.800000000000000000e+01,2.800000000000000000e+01,5.200000000000000000e+01,5.824000000000000199e+01,3.717849999999999877e+00,8.900000000000000000e+01
7.800000000000000000e+01,2.900000000000000000e+01,5.500000000000000000e+01,5.899000000000000199e+01,3.195289999999999964e+00,8.900000000000000000e+01
7.800000000000000000e+01,3.000000000000000000e+01,5.700000000000000000e+01,5.925999999999999801e+01,3.113259999999999916e+00,8.900000000000000000e+01
7.800000000000000000e+01,3.100000000000000000e+01,5.800000000000000000e+01,5.967999999999999972e+01,3.526699999999999946e+00,8.900000000000000000e+01
7.800000000000000000e+01,3.200000000000000000e+01,5.800000000000000000e+01,5.995000000000000284e+01,3.696959999999999802e+00,8.900000000000000000e+01
7.800000000000000000e+01,3.300000000000000000e+01,5.800000000000000000e+01,6.031000000000000227e+01,4.080919999999999881e+00,8.900000000000000000e+01
7.800000000000000000e+01,3.400000000000000000e+01,5.800000000000000000e+01,6.063000000000000256e+01,4.046369999999999578e+00,8.900000000000000000e+01
7.900000000000000000e+01,3.500000000000000000e+01,5.800000000000000000e+01,6.131000000000000227e+01,4.691900000000000404e+00,8.900000000000000000e+01
7.900000000000000000e+01,3.600000000000000000e+01,5.800000000000000000e+01,6.139000000000000057e+01,4.675239999999999618e+00,8.900000000000000000e+01
7.900000000000000000e+01,3.700000000000000000e+01,5.800000000000000000e+01,6.193999999999999773e+01,4.939269999999999605e+00,8.900000000000000000e+01
7.900000000000000000e+01,3.800000000000000000e+01,5.800000000000000000e+01,6.224000000000000199e+01,4.843799999999999883e+00,8.900000000000000000e+01
7.900000000000000000e+01,3.900000000000000000e+01,5.800000000000000000e+01,6.259000000000000341e+01,4.974120000000000097e+00,8.900000000000000000e+01
7.900000000000000000e+01,4.000000000000000000e+01,5.900000000000000000e+01,6.313000000000000256e+01,5.082629999999999981e+00,8.900000000000000000e+01
7.900000000000000000e+01,4.100000000000000000e+01,5.900000000000000000e+01,6.321000000000000085e+01,5.056269999999999598e+00,8.900000000000000000e+01
7.900000000000000000e+01,4.200000000000000000e+01,5.900000000000000000e+01,6.379999999999999716e+01,5.138090000000000046e+00,8.900000000000000000e+01
7.900000000000000000e+01,4.300000000000000000e+01,5.900000000000000000e+01,6.442000000000000171e+01,5.274810000000000443e+00,8.900000000000000000e+01
7.900000000000000000e+01,4.400000000000000000e+01,5.900000000000000000e+01,6.529999999999999716e+01,5.330099999999999838e+00,8.900000000000000000e+01
7.900000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,6.626999999999999602e+01,5.460499999999999687e+00,8.900000000000000000e+01
7.900000000000000000e+01,4.600000000000000000e+01,6.100000000000000000e+01,6.726000000000000512e+01,5.356530000000000236e+00,8.900000000000000000e+01
7.900000000000000000e+01,4.700000000000000000e+01,6.100000000000000000e+01,6.770000000000000284e+01,5.288669999999999760e+00,8.900000000000000000e+01
7.900000000000000000e+01,4.800000000000000000e+01,6.300000000000000000e+01,6.868000000000000682e+01,5.143699999999999939e+00,8.900000000000000000e+01
7.900000000000000000e+01,4.900000000000000000e+01,6.400000000000000000e+01,6.956000000000000227e+01,5.267489999999999561e+00,8.900000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,6.400000000000000000e+01,7.007999999999999829e+01,5.210910000000000153e+00,8.900000000000000000e+01
