Max,Delay Line Length,Mean,error_y.array,Available,max_norm,mean_norm,error_norm
12,2,12,0,38,0.3157894737,0.3157894737,0
25,3,24.33,1.8387767673,38,0.6578947368,0.6402631579,0.0483888623
33,4,31.465,2.0853716695,38,0.8684210526,0.8280263158,0.0548782018
33,5,27.232,3.6794260422,38,0.8684210526,0.7166315789,0.0968270011
36,6,24.448,4.2996855699,38,0.9473684211,0.6433684211,0.1131496203
34,7,25.03,2.9238844026,38,0.8947368421,0.6586842105,0.0769443264
32,8,24.62,2.591447472,38,0.8421052632,0.6478947368,0.0681959861
33,9,24.62,2.7668754941,38,0.8684210526,0.6478947368,0.072812513
32,10,25.73,2.5840085139,38,0.8421052632,0.6771052632,0.0680002241
29,11,26.94,2.8242521134,38,0.7631578947,0.7089473684,0.074322424
29,12,26.6373626374,1.6542750712,38,0.7631578947,0.7009832273,0.0435335545
31,13,27.01,2.3043220261,38,0.8157894737,0.7107894737,0.0606400533
32,14,27.01,1.9570130301,38,0.8421052632,0.7107894737,0.0515003429
33,15,26.96,1.6906803364,38,0.8684210526,0.7094736842,0.0444915878
32,16,28.1,1.7691806013,38,0.8421052632,0.7394736842,0.0465573842
