Max,Generations,Min,Avg,Std,Available
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.204540000000000166e+00,8.900000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.180000000000000160e+00,2.984560000000000102e+00,8.900000000000000000e+01
1.100000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,3.899999999999999911e+00,2.971530000000000005e+00,8.900000000000000000e+01
1.100000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,5.280000000000000249e+00,3.298729999999999940e+00,8.900000000000000000e+01
2.100000000000000000e+01,4.000000000000000000e+00,3.000000000000000000e+00,7.589999999999999858e+00,3.784429999999999961e+00,8.900000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+00,7.000000000000000000e+00,1.069999999999999929e+01,1.846619999999999928e+00,8.900000000000000000e+01
2.200000000000000000e+01,6.000000000000000000e+00,1.100000000000000000e+01,1.138000000000000078e+01,1.885629999999999917e+00,8.900000000000000000e+01
2.300000000000000000e+01,7.000000000000000000e+00,1.100000000000000000e+01,1.156000000000000050e+01,2.277369999999999894e+00,8.900000000000000000e+01
5.600000000000000000e+01,8.000000000000000000e+00,1.100000000000000000e+01,1.232000000000000028e+01,5.379369999999999763e+00,8.900000000000000000e+01
5.600000000000000000e+01,9.000000000000000000e+00,1.100000000000000000e+01,1.286999999999999922e+01,6.959389999999999965e+00,8.900000000000000000e+01
5.600000000000000000e+01,1.000000000000000000e+01,1.100000000000000000e+01,1.350000000000000000e+01,8.223750000000000782e+00,8.900000000000000000e+01
5.600000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.507000000000000028e+01,9.830819999999999226e+00,8.900000000000000000e+01
5.600000000000000000e+01,1.200000000000000000e+01,1.100000000000000000e+01,1.644999999999999929e+01,1.110169999999999924e+01,8.900000000000000000e+01
5.600000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.837999999999999901e+01,1.128609999999999935e+01,8.900000000000000000e+01
5.600000000000000000e+01,1.400000000000000000e+01,1.100000000000000000e+01,2.000000000000000000e+01,1.188780000000000037e+01,8.900000000000000000e+01
5.700000000000000000e+01,1.500000000000000000e+01,1.100000000000000000e+01,2.416000000000000014e+01,1.264259999999999984e+01,8.900000000000000000e+01
