Step,CONST1,CONST0,NXOR,XOR,OR,CIMPL,PROJX1,IMPL,PROJX2,AND,NAND,NOTX2,NIMPL,NOTX1,NCIMPL,NOR
169,0.9963,1,0.3917,0.4752,0.9502,0.9285,0.9979,0.5396,0.9417,0.9533,0.6923,0.9044,0.9864,0.7968,0.9888,0.925
170,0.9961,1,0.3985,0.4653,0.9541,0.9309,0.9989,0.5446,0.9411,0.9523,0.6921,0.905,0.9855,0.7969,0.9883,0.9251
171,0.9957,1,0.4074,0.4727,0.9555,0.9306,0.999,0.5506,0.9435,0.9521,0.6919,0.9069,0.9884,0.7951,0.9899,0.9264
172,0.9961,1,0.4044,0.469,0.9545,0.929,0.9986,0.5434,0.9401,0.9535,0.6888,0.9066,0.987,0.8044,0.9866,0.9256
173,0.997,1,0.4024,0.4695,0.9539,0.9271,0.999,0.5462,0.9425,0.9518,0.6908,0.9103,0.9862,0.8032,0.989,0.9243
174,0.9965,1,0.4029,0.4637,0.9555,0.9272,0.9988,0.5439,0.9423,0.9514,0.692,0.9086,0.9873,0.7968,0.9884,0.9244
175,0.9964,1,0.3979,0.4727,0.956,0.9281,0.9989,0.5484,0.943,0.9532,0.6991,0.9085,0.9864,0.7996,0.9877,0.9235
176,0.9961,1,0.4038,0.4671,0.9577,0.9274,0.9984,0.5435,0.9395,0.9533,0.6924,0.907,0.9858,0.8027,0.9879,0.9215
177,0.9959,1,0.4011,0.4701,0.9536,0.9266,0.9988,0.5408,0.9408,0.9508,0.6955,0.9008,0.9877,0.8013,0.9913,0.9249
178,0.9965,1,0.3948,0.4795,0.956,0.9242,0.9982,0.5452,0.9415,0.9522,0.6985,0.9081,0.9857,0.8012,0.9882,0.9203
179,0.9963,0.9999,0.4009,0.4718,0.9558,0.9303,0.9979,0.5394,0.9369,0.9506,0.6923,0.9035,0.9883,0.8059,0.9867,0.925
180,0.9966,1,0.4006,0.4795,0.9568,0.9297,0.9986,0.5392,0.9348,0.9498,0.6974,0.9081,0.9859,0.8064,0.9899,0.9211
181,0.9967,0.9999,0.3967,0.4725,0.9612,0.9294,0.9984,0.5352,0.9343,0.9512,0.6914,0.9019,0.9861,0.8058,0.9892,0.9242
182,0.9961,1,0.3893,0.4685,0.9598,0.9304,0.999,0.5373,0.9374,0.95,0.6848,0.9031,0.9887,0.813,0.9865,0.9237
183,0.997,1,0.3967,0.4674,0.9556,0.9271,0.9984,0.5394,0.9404,0.9493,0.6973,0.9052,0.986,0.8024,0.9878,0.9194
184,0.996,1,0.3964,0.4711,0.9583,0.9227,0.9987,0.5333,0.9387,0.9517,0.7035,0.9056,0.9863,0.8088,0.9887,0.926
185,0.9968,1,0.3905,0.4617,0.9603,0.9307,0.998,0.5307,0.9405,0.9481,0.699,0.9045,0.9861,0.8049,0.9907,0.9205
186,0.9963,0.9999,0.395,0.4606,0.9601,0.929,0.9985,0.5328,0.9366,0.9478,0.6875,0.9032,0.9866,0.8181,0.9884,0.9237
187,0.9958,1,0.4009,0.4703,0.9556,0.929,0.9988,0.527,0.9365,0.9466,0.7029,0.9075,0.9858,0.8088,0.9864,0.9207
188,0.9956,1,0.398,0.4677,0.9585,0.925,0.9983,0.5435,0.9383,0.9473,0.6955,0.9027,0.9866,0.8101,0.988,0.9185
189,0.9959,1,0.3946,0.4759,0.9552,0.9263,0.9988,0.5374,0.9362,0.9498,0.7003,0.9048,0.9867,0.8134,0.9861,0.9244
190,0.9965,0.9999,0.3883,0.4629,0.9587,0.9234,0.9984,0.533,0.9405,0.9487,0.6932,0.9085,0.9879,0.8115,0.9882,0.9228
191,0.9969,1,0.4023,0.4699,0.96,0.9256,0.9988,0.5357,0.938,0.9473,0.6949,0.8995,0.9892,0.8116,0.9884,0.922
192,0.9959,1,0.3983,0.4655,0.9596,0.928,0.9988,0.5289,0.9377,0.947,0.7065,0.909,0.9853,0.808,0.987,0.9208
193,0.9975,1,0.4012,0.4703,0.9586,0.9271,0.9989,0.5371,0.9366,0.9461,0.7014,0.9028,0.9876,0.8157,0.9877,0.92
194,0.9964,1,0.398,0.4743,0.9573,0.9314,0.999,0.5343,0.9349,0.9441,0.7003,0.9013,0.9874,0.8135,0.9883,0.921
195,0.9961,1,0.3936,0.4723,0.9594,0.9233,0.999,0.5288,0.9378,0.9456,0.7018,0.9097,0.9869,0.8176,0.9886,0.9188
196,0.9965,1,0.3929,0.4719,0.9592,0.9243,0.9988,0.5453,0.9368,0.9498,0.7006,0.9034,0.9874,0.808,0.9886,0.9209
197,0.9961,1,0.4062,0.4758,0.9615,0.9244,0.9983,0.5418,0.9365,0.9465,0.7068,0.9017,0.9874,0.8121,0.9885,0.9216
198,0.9958,1,0.3989,0.4686,0.9608,0.9207,0.9987,0.5298,0.9394,0.947,0.7067,0.9044,0.9861,0.8208,0.9876,0.9204
199,0.9963,1,0.398,0.4706,0.9601,0.9194,0.9986,0.5377,0.936,0.944,0.6952,0.9003,0.9884,0.8183,0.9877,0.9183
