Max,Generations,Min,Avg,Std,Available
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,1.199999999999999956e+00,9.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,9.000000000000000000e+00
4.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.100000000000000089e+00,2.999999999999999889e-01,9.000000000000000000e+00
4.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.100000000000000089e+00,2.999999999999999889e-01,9.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,3.399999999999999911e+00,6.633250000000000535e-01,9.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,3.799999999999999822e+00,1.249000000000000110e+00,9.000000000000000000e+00
7.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.099999999999999645e+00,1.135780000000000012e+00,9.000000000000000000e+00
7.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,5.099999999999999645e+00,1.300000000000000044e+00,9.000000000000000000e+00
7.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,5.900000000000000355e+00,1.135780000000000012e+00,9.000000000000000000e+00
9.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,7.099999999999999645e+00,9.433979999999999588e-01,9.000000000000000000e+00
