Max,Delay Line Length,Mean,error_y.array,Available,max_norm,mean_norm,error_norm
25,2,25,0,89,0.2808988764,0.2808988764,0
38,3,25.72,3.3528495344,89,0.4269662921,0.288988764,0.0376724667
62,4,45.8,13.731715115,89,0.6966292135,0.5146067416,0.1542889339
60,5,44.72,6.9369734034,89,0.6741573034,0.5024719101,0.0779435214
51,6,45.72,4.1232996496,89,0.5730337079,0.5137078652,0.0463292095
49,7,41.52,4.2719550559,89,0.5505617978,0.4665168539,0.047999495
50,8,43.52,3.6564463622,89,0.5617977528,0.488988764,0.041083667
52,9,44.12,3.6476841969,89,0.5842696629,0.4957303371,0.0409852157
57,10,46.64,4.1749730538,89,0.6404494382,0.5240449438,0.0469098096
61,11,54.72,3.3168659907,89,0.6853932584,0.6148314607,0.0372681572
62,12,50.36,3.7829089336,89,0.6966292135,0.5658426966,0.0425045948
58,13,50.96,3.7680764323,89,0.6516853933,0.5725842697,0.0423379374
54,14,50.68,1.7825823964,89,0.606741573,0.5694382022,0.0200290157
61,15,53.9473684211,3.8407832381,89,0.6853932584,0.606150207,0.0431548678
59,16,49.8,3.6878177829,89,0.6629213483,0.5595505618,0.0414361549
