Max,Generations,Min,Avg,Std,Available
4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.410000000000000142e+00,1.051859999999999928e+01,8.900000000000000000e+01
4.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000999999999999979e+01,1.436700000000000088e+01,8.900000000000000000e+01
4.200000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,1.964000000000000057e+01,1.510929999999999929e+01,8.900000000000000000e+01
4.200000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+01,2.735999999999999943e+01,1.505819999999999936e+01,8.900000000000000000e+01
4.200000000000000000e+01,4.000000000000000000e+00,1.100000000000000000e+01,3.842000000000000171e+01,7.280359999999999943e+00,8.900000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+00,4.200000000000000000e+01,4.200000000000000000e+01,0.000000000000000000e+00,8.900000000000000000e+01
5.700000000000000000e+01,6.000000000000000000e+00,4.200000000000000000e+01,4.215999999999999659e+01,1.494790000000000063e+00,8.900000000000000000e+01
5.700000000000000000e+01,7.000000000000000000e+00,4.200000000000000000e+01,4.215999999999999659e+01,1.494790000000000063e+00,8.900000000000000000e+01
5.700000000000000000e+01,8.000000000000000000e+00,4.200000000000000000e+01,4.215999999999999659e+01,1.494790000000000063e+00,8.900000000000000000e+01
5.700000000000000000e+01,9.000000000000000000e+00,4.200000000000000000e+01,4.215999999999999659e+01,1.494790000000000063e+00,8.900000000000000000e+01
5.700000000000000000e+01,1.000000000000000000e+01,4.200000000000000000e+01,4.217000000000000171e+01,1.497030000000000083e+00,8.900000000000000000e+01
5.700000000000000000e+01,1.100000000000000000e+01,4.200000000000000000e+01,4.221999999999999886e+01,1.572130000000000027e+00,8.900000000000000000e+01
5.700000000000000000e+01,1.200000000000000000e+01,4.200000000000000000e+01,4.227000000000000313e+01,1.642279999999999962e+00,8.900000000000000000e+01
5.700000000000000000e+01,1.300000000000000000e+01,4.200000000000000000e+01,4.232000000000000028e+01,1.708099999999999952e+00,8.900000000000000000e+01
5.700000000000000000e+01,1.400000000000000000e+01,4.200000000000000000e+01,4.236999999999999744e+01,1.770059999999999967e+00,8.900000000000000000e+01
5.700000000000000000e+01,1.500000000000000000e+01,4.200000000000000000e+01,4.242999999999999972e+01,1.828959999999999919e+00,8.900000000000000000e+01
5.700000000000000000e+01,1.600000000000000000e+01,4.200000000000000000e+01,4.257999999999999829e+01,1.985849999999999893e+00,8.900000000000000000e+01
5.700000000000000000e+01,1.700000000000000000e+01,4.200000000000000000e+01,4.272999999999999687e+01,2.092150000000000176e+00,8.900000000000000000e+01
5.700000000000000000e+01,1.800000000000000000e+01,4.200000000000000000e+01,4.285999999999999943e+01,2.172649999999999970e+00,8.900000000000000000e+01
5.700000000000000000e+01,1.900000000000000000e+01,4.200000000000000000e+01,4.295000000000000284e+01,2.210770000000000124e+00,8.900000000000000000e+01
6.400000000000000000e+01,2.000000000000000000e+01,4.200000000000000000e+01,4.364999999999999858e+01,3.459410000000000096e+00,8.900000000000000000e+01
6.400000000000000000e+01,2.100000000000000000e+01,4.200000000000000000e+01,4.442999999999999972e+01,4.214870000000000339e+00,8.900000000000000000e+01
6.400000000000000000e+01,2.200000000000000000e+01,4.200000000000000000e+01,4.484000000000000341e+01,4.177850000000000286e+00,8.900000000000000000e+01
7.800000000000000000e+01,2.300000000000000000e+01,4.200000000000000000e+01,4.593999999999999773e+01,5.580000000000000071e+00,8.900000000000000000e+01
7.800000000000000000e+01,2.400000000000000000e+01,4.200000000000000000e+01,4.760999999999999943e+01,5.904060000000000308e+00,8.900000000000000000e+01
7.800000000000000000e+01,2.500000000000000000e+01,4.300000000000000000e+01,4.882999999999999829e+01,5.614370000000000083e+00,8.900000000000000000e+01
7.800000000000000000e+01,2.600000000000000000e+01,4.500000000000000000e+01,5.013000000000000256e+01,5.494819999999999816e+00,8.900000000000000000e+01
7.800000000000000000e+01,2.700000000000000000e+01,4.700000000000000000e+01,5.072999999999999687e+01,5.538689999999999891e+00,8.900000000000000000e+01
7.800000000000000000e+01,2.800000000000000000e+01,4.700000000000000000e+01,5.171000000000000085e+01,6.120940000000000047e+00,8.900000000000000000e+01
7.800000000000000000e+01,2.900000000000000000e+01,4.700000000000000000e+01,5.277000000000000313e+01,6.057809999999999917e+00,8.900000000000000000e+01
7.800000000000000000e+01,3.000000000000000000e+01,4.700000000000000000e+01,5.410999999999999943e+01,5.711210000000000342e+00,8.900000000000000000e+01
7.800000000000000000e+01,3.100000000000000000e+01,4.700000000000000000e+01,5.629999999999999716e+01,4.581479999999999997e+00,8.900000000000000000e+01
7.800000000000000000e+01,3.200000000000000000e+01,5.300000000000000000e+01,5.799000000000000199e+01,3.675580000000000069e+00,8.900000000000000000e+01
